win_idx,win_start,packet_count,tcp_count,udp_count,icmp_count,syn_count,ack_count,fin_count,psh_count,rst_count,total_bytes,avg_packet_size,mean_time_diff,std_time_diff,unique_src,unique_dst,unique_src_ports,unique_dst_ports,src_entropy,dst_entropy,syn_ratio,tcp_ratio,avg_bytes_per_packet
85,85.0,12,0,0,2,0,0,0,0,0,1752,146.0,0.14839085133333305,0.3198531528776229,3,3,0,0,1.028183859329926,1.028183859329926,0.0,0.0,146.0
86,86.0,2,0,0,2,0,0,0,0,0,236,118.0,0.13214169449999957,0.13213042350000848,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
87,87.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5119944314999998,0.5119837805000031,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
88,88.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5124676920000013,0.5124591760000072,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
89,89.0,6,0,0,2,0,0,0,0,0,872,145.33333333333334,0.28928135183333364,0.3971322156606719,3,3,0,0,1.0986122886651097,1.0986122886651097,0.0,0.0,145.33333333333334
90,90.0,2,0,0,2,0,0,0,0,0,236,118.0,0.15533081449999742,0.15532180650000527,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
91,91.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5120564350000052,0.5120469569999955,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
92,92.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5123397089999955,0.5123312029999951,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
93,93.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5124424385000026,0.5124334314999999,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
94,94.0,2,0,0,2,0,0,0,0,0,236,118.0,0.511073801000002,0.5110651449999963,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
95,95.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5124471119999967,0.512438435,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
96,96.0,2,0,0,2,0,0,0,0,0,236,118.0,0.511572999000002,0.5115644620000026,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
97,97.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5134102970000001,0.5134014499999964,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
98,98.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5108405219999952,0.5108323059999975,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
99,99.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118417335000061,0.5118319755000016,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
100,100.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118339499999962,0.5118239610000046,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
101,101.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5126218545000043,0.5126122164999956,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
102,102.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5114723109999986,0.5114635039999982,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
103,103.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5129046889999955,0.5128950910000043,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
104,104.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5113839225000021,0.5113726915000001,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
105,105.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5117543280000021,0.5117444689999999,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
